bo text,en text,zh text,bo commentary 1 ,en commentary 1 ,lzh commentary 1 ,bo Commentary 2,en commentary 2,lzh commentary 2
196b5281-1e00-4560-b2dc-fc7d8d446c63,02ae9c66-c445-466f-b635-154445f3771f,fe15ce2e-20a3-4b1e-81ea-26446f04122a,cc4cf9f3-d738-4b0f-9f76-475559647b99,4ba57f13-a959-4835-ac10-0155ed26dce5,2350b9d7-edc5-42a8-94d8-8909ad55994f,116628f1-e654-4f88-a106-a9a6e63ce9eb,923159ef-fe6b-4dda-8b00-3a86a2ac5363,297a4449-0ebf-4356-8ae3-d20fdfc2e41d
c0c1a210-ef76-4c5b-ba38-8ef8b0f1e527,5bf99e15-b9e4-478b-9b2c-0ea1034db558,628df869-f1d2-4993-93af-b4a4df059041,d1068d0c-dedc-4f21-b857-d811ada33caf,bc37c4b2-48a1-4ba0-8fd7-ccadbcab52a4,a1d557bc-97ce-4773-ad58-ceddda7e6ffa,93f01f9e-55bc-4dd2-9053-4125c92a166f,31d9c19b-a313-4153-bc84-5df2a764f7e0,017b072b-e3a1-4f91-85d7-d3cd4d48598a
88265bbd-0bc0-4d60-8a10-3152487c87ad,372b3ed3-3e4d-456e-ae4a-689d48fec83a,e1d0a89a-8007-4d59-be40-f03e6db69163,9613174b-3133-45b7-888d-83291d343961,806d1e3f-db0e-48e8-b903-d9b335d47550,affca057-d228-4235-91bd-6fdc3d941f81,e0f7212d-5977-48d4-a2eb-7205e4f50cad,80614f67-a08f-4686-9f89-8bf00e57c7da,c2213b42-500d-4c8f-9069-62d2aef188d7
287a418b-3edc-47b4-8c78-4d49efcf9b28,7d59ce6f-d090-4fa1-ac3e-2bec3204adc2,7179152c-00a6-4e11-ad53-319fd5281e06,06e37e2b-83cf-45ef-869b-573617f33a71,a3825020-6799-40ab-9e07-aa67fe716891,67cffeed-ac87-44af-8b53-ac2b04d00c4d,3ad3051b-42af-4f68-8537-f098d224d3be,5ea441a4-9fd3-4a5c-8c70-2a21fa02ec38,3bb4df5f-5107-4471-9c19-19038e1ca031
dbf12c4c-df9b-4cda-921a-69927a290e50,c34a5d7f-6013-4558-9f3a-390c1a33ca5d,27118382-b3cc-4c07-bc51-c72b745a2f33,86c19531-aea7-48a9-9ac8-51334dfec420,ec946a48-d880-4204-beb4-188be5626f5b,5762b4d0-0a22-4925-a7ac-35c988b0a56a,6e01f7e0-effa-4cea-8da3-c81dca9d5704,8788c500-c684-4b8c-9189-ddad9e612bf6,27cb320d-c54b-4f20-8602-f10752f268a8
298c9e3e-9451-4767-9be0-f84724d49a6c,3a3e16b9-1c29-4435-8f57-d6ae5700c22b,47cab714-1d41-48ea-a60b-da7a2f18f1e4,83060dbc-cc74-427b-a36f-e4d5d3cc0d39,558c8e9d-2e69-4169-bdce-6086a8934eb3,2f8bed26-a6f2-4914-850d-c2e84930e79a,e0c18a6a-d453-4219-8a0c-316b87161194,c76688f0-4669-446e-af5d-38b68ed434ca,3d045cde-f5ec-4098-aee0-f96033574101
4e5121d6-b523-4ac9-a197-67a03f7be9d7,d6b23a93-8c82-4934-a58c-d76c63e70232,9bdbf137-09ad-4f73-a3ff-4b9ee4d1b5f9,c308e1f6-5099-4371-a939-9b6889ef96eb,10cae57a-0d77-45a7-b76d-c7ee4987e61b,80f68357-3cc1-4a94-9be0-78b882dcf912,613a11e8-c330-4a4e-a193-5fc1c7171de4,528453f6-98a4-4b95-93db-1d94366a4cce,e956a90e-70e0-4880-8f49-b6ce976e8d2c
beb14cea-bfb8-4b9d-9136-d063ca9dc68a,cdb97821-150e-4468-ab61-09d08d162570,b79986df-e49e-49f7-a9de-8ba126b3125e,b04705bf-b884-4430-9922-7d579439fb81,b8f8cb3d-f887-4c38-95b5-924ba87bfe16,81a34cc0-4c77-4c80-9e71-a96e6eab154f,ff2a247d-292d-4c1c-8611-25cf2e342c46,7db8909f-740d-419e-8aff-52cd2a0c86a6,e4840ba8-522f-4fb7-937f-60ddc3557e09
4a49b516-eb6d-43f3-b9b6-0311b26a5386,640dd9be-ce58-4129-8dcb-91579b9aacd5,dc8a3a37-68aa-44e3-a3fa-bc5f42a02c58,f4d47698-dd44-40cf-9888-be0a5c65b2bd,34fc9267-ecf9-4285-af92-e5b56e0d2757,4899aa79-e783-4a5e-b6b5-f6dc5f4e5ca4,f15faa4d-25d5-4fc7-a509-832000cbbb54,f2c754c3-b149-4615-a04d-06646f53e987,6c5d8b19-a68a-4ebe-ac24-39b2ff454918
e8f1885d-6f7c-49dc-90b0-22c6b632aaf2,4abb4d0b-0347-4e34-8aea-651b722536c9,d5d44e85-f96e-4478-b792-ba0761264b29,9b26cb52-cb38-42f5-b179-03f09925125a,c5a0b08f-2756-41e1-9791-e1bdf65d0e70,66855ac2-2b74-4e16-b6e5-771e9b100b2e,46475a53-a575-4f14-88e8-998f8e06440e,dada72ae-9fe4-4261-a432-22df3a73fc02,c584ea92-f640-4b4e-b550-0b59c90c6611
1325daad-6bcd-4607-9d02-6ad3e2e34299,ddc66a75-c91e-4e9f-9870-16837ad33cf4,3cb0ae25-1ba5-4d9b-8607-a039b19e351e,9bc1ed08-72bc-483f-b22c-5c3e1330128f,663bb417-7ce1-45ac-ae66-4fca85f1bdab,aa13d346-5ebe-4cdb-9160-003755ef6b77,0993408c-4f83-459b-830a-25757a85922b,d8419f0d-5186-456a-80b0-2316b4a20927,1ff746c3-2578-486c-b859-e7643452738f
