No.,bo text,zh text
9,"དེ་ལྟས་དགེ་བ་ཉམ་ཆུང་ཉིད་ལ་རྟག<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">རྟག] N,Q བརྟག། The reading རྟག is preferred based on the Sanskrit नित्यं and supported by commentaries KP and GDR. KP explicitly glosses རྟག་ཏུ <span class=\""text-quotation-style\"">'always'</span>, and GDR explains དུས་རྟག་ཏུ. The variant བརྟག in N,Q appears to be a scribal error.</i> །སྡིག་པ་སྟོབས་ཆེན་ཤིན་ཏུ་མི་བཟད་པ།།<br>དེ་ནི་རྫོགས་པའི་བྱང་ཆུབ་སེམས་མིན་པ།།<br>དགེ་གཞན་གང་གིས་ཟིལ་གྱིས་གནོན་པར་འགྱུར།།",如是常以微弱之善根 <br> 極難對抗罪障大勢力 <br>是時若無圓滿菩提心 <br> 餘善威力何能遮彼罪
10,"བསྐལ་པ་དུ་མར་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བསྐལ་པ་དུ་མར་] Q བསྐལ་པ་དམའ་; The reading དུ་མར་ is confirmed by Skt. अनल्पान् and supported by all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS mention བསྐལ་པ་དུ་མར་ or གྲངས་མེད་དུ་མར་</span></i>རབ་དགོངས་མཛད་པ་ཡི།།<br>ཐུབ་དབང་རྣམས་ཀྱིས་འདི་ཉིད་ཕན་པར་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཕན་པར་] I ཕན་བར་; The reading ཕན་པར་ is supported by Skt. हितम् and all commentaries. KP and GDR explicitly use ཕན་པར་</i>གཟིགས།།<br>འདིས་ནི་ཚད་མེད་སྐྱེ་བོའི་ཚོགས་རྣམས་ཀྱིས།།<br>བདེ་མཆོག་བདེ་བླག་ཉིད་དུ་ཐོབ་པར་བྱེད།།",於多劫中恒時作護念 <br> 諸能仁主觀見此利益 <br>無量士夫多資糧所成 <br> 勝樂由斯不難安隱得
11,"སྲིད་པའི་སྡུག་བསྔལ་བརྒྱ་ཕྲག་གཞོམ་འདོད་ཅིང་།།<br>སེམས་ཅན་མི་བདེ་བསལ་བར་འདོད་པ་དང་།།<br>བདེ་མང་བརྒྱ་ཕྲག་སྤྱོད་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">སྤྱོད་] N,Q སྤྱད་ | སྤྱོད་ chosen based on Sanskrit bhoktu <span class=\""text-quotation-style\"">to enjoy/experience</span> and supported by all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> which consistently use སྤྱོད་</i>པར་འདོད་པས་ཀྱང་།།<br>བྱང་ཆུབ་སེམས་ཉིད་རྟག་ཏུ་གཏང་མི་བྱ།།",百千生死苦痛欲摧壞 <br> 有情憂惱不安欲遣除 <br> 眾多百千妙樂欲受享 <br> 菩提心體常應不捨離
12,བྱང་ཆུབ་སེམས་སྐྱེས་གྱུར་ན་སྐད་ཅིག་གིས།།<br>འཁོར་བའི་བཙོན་རར་བསྡམས་པའི་ཉམ་ཐག་རྣམས།།<br>བདེ་གཤེགས་རྣམས་ཀྱི་སྲས་ཞེས་བརྗོད་བྱ་ཞིང་།།<br>འཇིག་རྟེན་ལྷ་མིར་བཅས་པས་ཕྱག་བྱར་འགྱུར།།,若發菩提心者剎那間 <br> 生死囹圄堅牢苦逼身 <br> 即名一切如來殊勝子 <br> 世間天人悉皆應恭敬
13,"གསེར་འགྱུར་རྩི་ཡི་རྣམ་པ་མཆོག་ལྟ་བུ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བུ] N,Q བུར། The reading བུ is supported by the Sanskrit source <span class=\""text-quotation-style\"">प्रतिमा</span> and commentaries KP, GDR, KS, and TS which all interpret it as ལྟ་བུ.</i>།།<br>མི་གཙང་ལུས་འདི་བླངས་ནས་རྒྱལ་བའི་སྐུ།།<br>རིན་ཆེན་རིན་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">རིན] C,P རིང་། The reading རིན is confirmed by Sanskrit अनर्घाम् <span class=\""text-quotation-style\"">priceless</span> and all commentaries' interpretations of རིན་ཐང་མེད་པ.</i>ཐང་མེད་པར་བསྒྱུར་བས་ན<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ན] F,G ཚན། The reading ན is supported by Sanskrit and the consistent interpretational pattern in all commentaries, particularly KP's བས་ན.</i>།།<br>བྱང་ཆུབ་སེམས་ཞེས་བྱ་བ་རབ་བརྟན་ཟུང<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ཟུང] C གཟུང་། The reading ཟུང is supported by the Sanskrit imperative गृह्णत and matches the imperative sense in all commentaries, especially KS's ཟུངས་ཤིག།</i>།།",如丹點金轉成殊勝相 <br> 將此不淨之身能轉成 <br> 希有無價大寶如來身 <br> 是故於菩提心應堅持
14,"འགྲོ་བའི་དེད་དཔོན་གཅིག་པུ་ཚད་མེད་བློས།།<br>ལེགས་པར་ཡོངས་སུ་བརྟགས་ན་རིན་ཆེ་བས།།<br>འགྲོ་བའི་གནས་དང་བྲལ་བར་འདོད་པ་རྣམས།།<br>རིན་ཆེན་བྱང་ཆུབ་སེམས་ལེགས་བརྟན་པར་ཟུང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཟུང་] C གཟུང་; F,G ཟུངས་། The reading ཟུང་ is preferred as it matches the Sanskrit imperative गृह्णत and is supported by KP's gloss བཟུང་བར་བྱའོ། The variants གཟུང་ and ཟུངས་ appear to be later orthographic modifications.</i>།།",眾生唯一導師無量慧 <br> 善巧普觀見為極珍奇 <br> 五趣眾生欲求出離者 <br> 大寶菩提妙心應堅持
15,དགེ་བ་གཞན་ཀུན་ཆུ་ཤིང་བཞིན་དུ་ནི།།<br>འབྲས་བུ་བསྐྱེད་ནས་ཟད་པར་འགྱུར་བ་ཉིད།།<br>བྱང་ཆུབ་སེམས་ཀྱི་ལྗོན་ཤིང་རྟག་པར་ཡང་།།<br>འབྲས་བུ་འབྱིན་པས་མི་ཟད་འཕེལ་བར་འགྱུར།།,一切餘善不久如芭蕉 <br> 一次生果凋謝不再生 <br> 菩提妙心嘉樹常茂密 <br> 與果恒時無盡輾轉增
16,"སྡིག་པ་ཤིན་ཏུ་མི་བཟད་བྱས་ན་ཡང་།།<br>དཔའ་ལ་བརྟེན་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">བརྟེན་] C བསྟེན། KS's commentary reads བསྟེན་, but བརྟེན་ is preferred as it matches Sanskrit आश्रय and is supported by KP, GDR, and TS commentaries.</i>ནས་འཇིགས་པ་ཆེན་པོ་ལྟར།།<br>གང་ལ་བརྟེན་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བརྟེན་] C བསྟེན། Sanskrit आश्रय supports བརྟེན་, which is also consistent with KP and TS commentaries.</i>ནས་ཡུད་ཀྱིས་སྒྲོལ་འགྱུར་བ།།<br>དེ་ལ་བག་ཅན་རྣམས་ཀྱིས་ཅིས་མི་བརྟེན<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བརྟེན་] C བསྟེན། The final བརྟེན་ is confirmed by Sanskrit आश्रीयते and the majority of commentaries. The consistent use of བརྟེན་ throughout the verse maintains the parallel construction.</i>།།",如作極惡難容諸重罪 <br> 須依有力勇者脫諸怖 <br> 若於誰人歸投即蒙救 <br> 諸謹畏者於彼何不歸
17,"དེས་ནི་དུས་མཐའི་མེ་བཞིན་སྡིག་ཆེན་རྣམས།།<br>སྐད་ཅིག་གཅིག་གིས་ངེས་པར་སྲེག་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">སྲེག་] N,Q བསྲེག་</i>པར་བྱེད།།<br>དེ་ཡི་ཕན་ཡོན་དཔག་ཏུ་མེད་པ་དག།<br>བྱམས་མགོན་བློ་དང་ལྡན་པས་ནོར་བཟང་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བཟང་] I བཟངས་</i>བཤད།།",菩提妙心猶如劫盡火 <br> 剎那能焚諸罪盡無餘 <br>是故發心功德量無邊 <br> 慈氏依怙廣為善財說
18,"བྱང་ཆུབ་སེམས་དེ་མདོར་བསྡུས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">མདོར་བསྡུས་] N,Q བསྡུ། Chosen reading བསྡུས་ supported by Sanskrit समासतः and commentary by KP མདོར་བསྡུ་ན། Commentary by GDR also supports མདོར་བསྡུས་ with ངོ་བོའི་སྒོ་ནས་མདོར་བསྡུས་ན།</i>ན།།<br>རྣམ་པ་གཉིས་སུ་ཤེས་བྱ་སྟེ།།<br>བྱང་ཆུབ་སྨོན་པའི་སེམས་དང་ནི།།<br>བྱང་ཆུབ་འཇུག་པ་ཉིད་ཡིན་ནོ།།",總攝而言菩提心 <br> 應知有二種差別 <br> 謂即發起菩提願 <br> 及與趣入菩提行
19,"འགྲོ་བར་འདོད་དང་འགྲོ་བ་ཡི།།<br>བྱེ་བྲག་ཇི་ལྟར་ཤེས་པ་ལྟར།།<br>དེ་བཞིན་མཁས་པས་འདི་གཉིས་ཀྱི<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཀྱི་] N,Q ཀྱིས། The reading ཀྱི་ is supported by Sanskrit genitive अनयोः and all major commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> which consistently use གཉིས་ཀྱི་. The variant ཀྱིས་ is likely a scribal error.</i>།།<br>བྱེ་བྲག་རིམ་བཞིན་ཤེས་པར་བྱ།།",如人欲行與趣行 <br> 差別如何易了知 <br> 如其次第願行別 <br> 智者當知亦如是
20,"བྱང་ཆུབ་སྨོན་པའི་སེམས་ལས་ནི།།<br>འཁོར་ཚེ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཚེ་] C,F,G,P; ཚོ་ I. The reading ཚེ་ is confirmed by both the Sanskrit source <span class=\""text-quotation-style\"">संसारे</span> and all commentaries. KP explicitly glosses འཁོར་ཚེ་ as འཁོར་བ་འདིར་འཁོར་ཚེ་, while GDR reads འཁོར་བ་ན་གནས་པའི་ཚེ་. The variant ཚོ་ in I appears to be a scribal error.</i>འབྲས་བུ་ཆེ་འབྱུང་ཡང་།།<br>ཇི་ལྟར་འཇུག་པའི་སེམས་བཞིན་དུ།།<br>བསོད་ནམས་རྒྱུན་ཆགས་འབྱུང་བ་མིན།།",願菩提心雖亦能 <br> 於生死中興大果 <br> 然不如行菩提心 <br> 出生福德恒無盡
21,"གང་ནས་བཟུང་སྟེ་སེམས་ཅན་ཁམས།།<br>མཐའ་ཡས་རབ་ཏུ་དགྲོལ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དགྲོལ་] «C» སྒྲོལ་; «N,Q» བསྒྲལ་ | Sanskrit प्रमोक्षणे supports དགྲོལ་ <span class=\""text-quotation-style\"">liberation</span>. Commentary KP also uses དགྲོལ་, while GDR uses སྒྲོལ་. The form དགྲོལ་ is preferred as it matches the Sanskrit causative form and is supported by most commentaries.</i>བའི་ཕྱིར།།<br>མི་ལྡོག་པ་ཡི་སེམས་ཀྱིས་སུ།།<br>སེམས་དེ་ཡང་དག་བླངས་གྱུར་པ།།",普為無邊有情界 <br> 悉皆解脫安隱故 <br> 發心堅固無退轉 <br> 何時真發如是心
22,"དེང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དེང་] C,N,Q དེ་ | དེང་ chosen based on Sanskrit ततःप्रभृति and supported by KP, GDR, KS and TS commentaries which all explain this as a temporal marker དེ་ནས་བཟུང་སྟེ་</i>ནས་བཟུང་སྟེ་གཉིད་ལོག་གམ།།<br>བག་མེད་གྱུར་ཀྱང་བསོད་ནམས་ཤུགས།།<br>རྒྱུན་མི་འཆད་པར་དུ་མ་ཞིག།<br>ནམ་མཁའ་མཉམ་པར་རབ་ཏུ་འབྱུང་།།",即當從於彼時起 <br> 縱令倚臥行放逸 <br> 福德勢力流無盡 <br> 量等虛空遍出生
23,"འདི་ནི་འཐད་པ་དང་བཅས་པར།།<br>ལག་བཟངས་ཀྱིས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ལག་བཟང་གིས་] C ལག་བཟངས་ཀྱིས་ N,Q ལགབཟངས་ཀྱིས་. Reading ལག་བཟངས་ཀྱིས་ is supported by the Sanskrit subaāhu and commentary KP's ལག་བཟངས་ཀྱིས་. The spelling with final -s better reflects the agentive case.</i>ནི་ཞུས་པ་ལས།།<br>དམན་མོས་སེམས་ཅན་དོན་གྱི་ཕྱིར།།<br>དེ་བཞིན་གཤེགས་པ་ཉིད་ཀྱིས་གསུངས།།",此有經文可為證 <br> 出於妙臂請問經 <br>為利小心有情故 <br> 如來歡喜親宣說
24,"སེམས་ཅན་རྣམས་ཀྱི་ཀླད་ནད་ཙམ།།<br>བསལ་ལོ་སྙམ་དུ་བསམས་ན་ཡང་།།<br>ཕན་འདོགས་བསམ་པ་དང་ལྡན་ཏེ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ལྡན་ཏེ་] C,N,Q ལྡན་དེ། Sanskrit हिताशयः supports reading ཏེ as an allative particle. All commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> consistently use ཏེ. The variant དེ appears to be a scribal error.</i>།།<br>བསོད་ནམས་དཔག་མེད་ལྡན་གྱུར་ན།།",若人但略一思維 <br> 欲為有情除首疾 <br> 亦為具足饒益想 <br> 所有福德亦無量
25,སེམས་ཅན་རེ་རེའི་མི་བདེ་བ།།<br>དཔག་ཏུ་མེད་པ་བསལ་འདོད་ཅིང་།།<br>རེ་རེའང་ཡོན་ཏན་དཔག་མེད་དུ།།<br>བསྒྲུབ་པར་འདོད་པ་སྨོས་ཅི་དགོས།།,況為別別眾有情 <br> 各欲為除無量苦 <br> 無量功德各成辦 <br> 其為福德何待言
26,ཕའམ་ཡང་ན་མ་ཡང་རུང་།།<br>སུ་ལ་འདི་འདྲའི་ཕན་སེམས་ཡོད།།<br>ལྷ་དང་དྲང་སྲོང་རྣམས་ཀྱང་རུང་།།<br>ཚངས་པ་ལ་ཡང་འདི་ཡོད་དམ།།,縱令若父或若母 <br> 孰有如斯饒益心 <br>諸天仙人梵行者 <br> 寧有何人心似此
27,"སེམས་ཅན་དེ་དག་ཉིད་ལ་སྔོན།།<br>རང་གི་དོན་དུའང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དོན་དུ་] N,Q དོན་དུའང་; The reading དོན་དུའང་ is supported by the Sanskrit api <span class=\""text-quotation-style\"">अपि</span> and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span>. The particle ཡང་/འང་ corresponds to Sanskrit api and emphasizes the rhetorical force of the verse.</i>འདི་འདྲའི་སེམས།།<br>རྨི་ལམ་དུ་ཡང་མ་རྨིས་ན།།<br>གཞན་གྱི་དོན་དུ་ག་ལ་སྐྱེ།།",彼諸有情於往昔 <br> 為自利故如是心 <br> 夢中尚未暫夢見 <br> 此利他心從何生
28,"གཞན་དག་རང་གི་དོན་དུ་ཡང་།།<br>མི་འབྱུང་སེམས་ཅན་དོན་སེམས་གང་།།<br>སེམས་ཀྱི་རིན་ཆེན་ཁྱད་པར་འདི།།<br>སྔ་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">སྔ་ན་] N,Q; སྔ་བླ་ན་. The reading སྔ་ན་ is supported by the Sanskrit अपूर्व and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> which interpret it as སྔར་སྐྱེ་མ་མྱོང་བ་ <span class=\""text-quotation-style\"">KP</span> and སྔ་ན་མེད་པ་. The variant སྔ་བླ་ན་ appears to be a scribal error.</i>ན་མེད་པའི་རྨད་ཅིག་འཁྲུངས།།",反是絕不求自利 <br> 唯為利益諸有情 <br> 殊勝菩提心妙寶 <br> 空前希有始誕生
29,"འགྲོ་བ་ཀུན་གྱི་དགའ་བའི་རྒྱུ།།<br>སེམས་ཅན་སྡུག་བསྔལ་རྩིར་གྱུར་པ།།<br>རིན་ཆེན་སེམས་ཀྱི་བསོད་ནམས་གང་།།<br>དེ་ལ་ཇི་ལྟར་གཞལ་གྱིས་ལང་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">དེ་ལ་ཇི་ལྟར་གཞལ་གྱིས་ལང་] N,Q དེ་ལ་ཇི་ལྟར་གཞན་གྱིས་ལང་། The reading གཞལ་གྱིས་ is supported by the Sanskrit प्रमीयताम् <span class=\""text-quotation-style\"">to be measured</span> and all commentaries: KP explicitly glosses གཞལ་གྱིས་ as ཚད་ཀྱི་...གཞལ་གྱིས་; GDR has ཚད་...གཞལ་གྱིས་; KS gives བློས་...གཞལ་གྱིས་; TS preserves གཞལ་གྱིས་. The variant གཞན་གྱིས་ in N,Q appears to be a scribal error.</i>།།",一切有情喜樂因 <br> 有情諸苦普療藥 <br> 菩提妙心福云何 <br> 於彼以何量可測
30,"ཕན་པར་བསམས་པ་ཙམ་གྱིས་ཀྱང་།།<br>སངས་རྒྱས་མཆོད་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">སངས་རྒྱས་མཆོད་] F,G སངས་རྒྱས་མཆོད་༄༅། །རྒྱསམཆོད་. The reading སངས་རྒྱས་མཆོད་ is supported by the Sanskrit बुद्धपूजा and all commentaries <span class=\""text-quotation-style\"">KP, GDR, KS, TS</span>.</i>ལས་ཁྱད་འཕགས་ན།།<br>སེམས་ཅན་མ་ལུས་ཐམས་ཅད་ཀྱི།།<br>བདེ་དོན་བརྩོན་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">བརྩོན་] I བཙོན་. The reading བརྩོན་ is confirmed by Sanskrit उद्यम and supported by all commentaries, particularly KP's བརྩོན་པ་ and GDR's བརྩོན་པ་རྒྱ་ཆེན་པོ་.</i>པ་སྨོས་ཅི་དགོས།།",僅唯發起饒益心 <br> 猶勝供養諸如來 <br>況於無餘眾有情 <br> 勤作利益安樂事
31,"སྡུག་བསྔལ་འདོར་འདོད་སེམས་ཡོད་ཀྱང་།།<br>སྡུག་བསྔལ་ཉིད་ལ་མངོན་པར་རྒྱུ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">རྒྱུག] Q བརྒྱུག། The reading རྒྱུག is supported by the Sanskrit abhidhāvanti <span class=\""text-quotation-style\"">\""run towards\""</span> and all commentaries. KP explicitly uses རྒྱུག, while GDR, KS, and TS all interpret the verse with the same meaning of \""running towards\"" suffering. The variant བརྒྱུག in Q appears to be a scribal error.</i>ག།<br>བདེ་བ་འདོད་ཀྱང་གཏི་མུག་པས།།<br>རང་གི་བདེ་བ་དགྲ་ལྟར་འཇོམས།།",心欲捨離諸苦痛 <br> 現於諸苦轉趣近 <br> 雖欲安樂而愚昧 <br> 摧壞己樂如仇人
32,གང་ཞིག་བདེ་བས་ཕོངས་པ་དང་།།<br>སྡུག་བསྔལ་མང་ལྡན་དེ་དག་ལ།།<br>བདེ་བ་ཀུན་གྱིས་ཚིམ་པ་དང་།།<br>སྡུག་བསྔལ་ཐམས་ཅད་གཅོད་བྱེད་ཅིང་།།,若人匱乏安樂具 <br> 具足眾多痛苦事 <br> 誰以諸樂令滿足 <br> 復為斷除諸苦痛
33,"གཏི་མུག་ཀྱང་ནི་སེལ་བྱེད་པ<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">སེལ་བྱེད་པས་] N,Q; སེལ་བྱེད་པ་ D. The reading པས་is supported by the Sanskrit instrumental form नाशयति and matches the syntactic structure better. Additionally, KP's commentary uses བྱེད་པ་ཡི་ confirming the instrumental case.</i>ས།།<br>དེ་དང་དགེ་མཚུངས་ག་ལ་ཡོད།།<br>དེ་འདྲའི་བཤེས་ཀྱང་ག་ལ་ཡོད།།<br>བསོད་ནམས་དེ་འདྲའང་ག་ལ་ཡོད།།",愚癡暗昧能遣除 <br> 如此善心何能匹 <br> 如斯善友何可得 <br> 如斯福德何能及
34,"ཕན་བཏགས་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">ཕན་བཏགས་] Q ཕནགཏགས་ ‖ Sanskrit कृते and all commentaries <span class=\""text-quotation-style\"">KP,GDR,KS,TS</span> support the reading ཕན་བཏགས་</i>ལན་ལྡོན་<sup class=\""footnote-marker\"">*</sup><i class=\""footnote\"">ལན་ལྡོན་] C,N,Q ལྡོན་ ‖ Sanskrit प्रतिकुर्वीत and commentaries support ལྡོན་. KP explicitly glosses as ཚུར་ལན་ལྡོན་པ་, GDR has ལན་ལྡོན་པ་, and TS has ལན་ལྡོན་པ་. The reading ལྡོན་ is preferred as it matches both Sanskrit and commentarial evidence.</i>གང་ཡིན་པ།།<br>དེ་ཡང་རེ་ཞིག་བསྔགས་འོས་ན།།<br>མ་བཅོལ་ལེགས་པར་བྱེད་པ་ཡི།།<br>བྱང་ཆུབ་སེམས་དཔའ་སྨོས་ཅི་དགོས།།",或為受恩作酬報 <br> 彼亦尚應獲稱揚 <br> 況為眾生不請友 <br> 菩提薩埵何待言
35,"འགྲོ་བ་ཉུང་ཟད་ནར་མའི་ཟས་སྦྱོར་བ།།<br>སྐད་ཅིག་ཟས་ཙམ་སྦྱིན་པར་བྱེད་པ་དང་།།<br>བརྙས་བཅས་ཉིན་ཕྱེད་འགྲངས་པར་<sup class=\footnote-marker\"">*</sup><i class=\""footnote\"">འགྲངས་པར་] C,N,Q འདྲངས་པར་; F,G འགྲང་བར་; I འདྲངས་པར་. The reading འགྲངས་པར་ is supported by the Sanskrit तृप्त <span class=\""text-quotation-style\"">tṛpta</span> and commentary evidence. GDR explicitly uses འགྲངས་པར་, and KP's gloss ལྟོ་འགྲངས་པར་ confirms this reading. The verb འགྲངས་ <span class=\""text-quotation-style\"">'to be satisfied/full'</span> better conveys the meaning of satisfaction from eating than the alternatives འདྲངས་ or འགྲང་.</i>བྱེད་པ་ཡང་།།<br>དགེ་བ་བྱེད་པ་ཡིན་ཞེས་སྐྱེ་བོས་བཀུར།།",於少有情作摶食 <br> 剎那施與一餔醊 <br> 輕心嗟來半日施 <br> 世人敬讚猶稱善
