bo text,en text,zh text,bo commentary 1 ,en commentary 1 ,lzh commentary 1 ,bo Commentary 2,en commentary,lzh commentary,
ཕྱག་འཚལ་བརྒྱ་བྱིན་མེ་ལྷ་ཚངས་པ། །<br>རླུང་ལྷ་སྣ་ཚོགས་དབང་ཕྱུག་མཆོད་མ། །,"Homage to her, whom Indra, Agni, Brahmā, Vāyu, and the varied mighty ones all worship.",敬禮帝釋、火神、梵天 風神及諸自在所供奉 ,ཕྱག་འཚལ་བརྒྱ་བྱིན་མེ་ལྷ་ཚངས་པ། །རླུང་ལྷ་སྣ་ཚོགས་དབང་ཕྱུག་མཆོད་མ། །ཞེས་པ་ནི་ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། མེ་ལྷ་དང་། ཚངས་པ་དང་། རླུང་ལྷ་དང་། དེ་རྣམས་ཀྱི་བདག་པོར་གྱུར་པ་དབང་ཕྱུག་ཆེན་པོས་ཞབས་ལ་མཆོད་པ་འབུལ་བའོ། །,"Homage to you whom Indra, Fire God, Brahma, Wind God, and the Lord of Various Powers worship. This means that the lord of gods Indra, the fire god, Brahma, the wind god, and their master, the great Ishvara (Maheśvara), offer worship at her feet.",礼敬帝释火神梵天 风神种种自在供养 此谓天帝帝释、火神、梵天、风神 及彼等之主大自在天 皆供养其足 ,ཕྱག་འཚལ་བརྒྱ་བྱིན་མེ་ལྷ་ཚངས་པ། ། རླུང་ལྷ་སྣ་ཚོགས་དབང་ཕྱུག་མཆོད་མ། ། ཞེས་པ་ནི། ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང༌། མེ་ལྷ་དང་ཚངས་པ་དང་། རླུང་ལྷ་དང་། དེ་རྣམས་ཀྱི་བདག་པོར་གྱུར་པ་དབང་ཕྱུག་ཆེན་པོས་ཞབས་ལ་མཆོད་པ་འབུལ་བའོ། །,"Homage to you whom Indra, Fire God, Brahma, Wind God, and the Lord of Various Powers worship... This means that the lord of gods Indra, the fire god, Brahma, the wind god, and their master, the great Ishvara (Shiva), offer worship at her feet.""",顶礼帝释火天梵 风神诸天自在供,
འབྱུང་པོ་རོ་ལངས་དྲི་ཟ་རྣམས་དང་། །<br>གནོད་སྦྱིན་ཚོགས་ཀྱིས་མདུན་ནས་བསྟོད་མ། །,"Praised from the front by the hosts of spirits, risen-corpses, gandharvas, and yakṣas.",部多、起屍、乾闥婆 以及夜叉眾前皆讚頌 ,འབྱུང་པོ་རོ་ལངས་དྲི་ཟ་རྣམས་དང་། །གནོད་སྦྱིན་ཚོགས་ཀྱིས་མདུན་ནས་བསྟོད་མ། །འབྱུང་པོ་ནི་ཚོགས་བདག་ལ་སོགས་པའོ། །རོ་ལངས་ནི་དབང་ཕྱུག་ཆེན་པོ་ལ་སོགས་པའོ། །དྲི་ཟ་ནི་ཟུར་ཕུད་ལྔ་པ་ལ་སོགས་པའོ། །གནོད་སྦྱིན་ནི་རྣམ་ཐོས་སྲས་ལ་སོགས་པའོ། །ཚོགས་ཀྱིས་ཞེས་པ་ནི་དེ་ལ་སོགས་པ་ལྷ་སྲིན་སྡེ་བརྒྱད་ཀྱིས་མདུན་ནས་བསྟོད་པའོ། །,"Praised by hosts of spirits, zombies, gandharvas, and yakṣas from the front. 'Spirits' refers to Gaṇeśa and others. 'Zombies' refers to Maheśvara and others. 'Gandharvas' refers to the Five-Crested One and others. 'Yakṣas' refers to Vaiśravaṇa and others. 'By hosts' means that she is praised from the front by the eight classes of gods and demons and so forth.",部多起尸乾闼婆等 药叉众前赞叹 部多谓众主等 起尸谓大自在天等 乾闼婆谓五髻等 药叉谓多闻子等 众者 谓彼等天魔八部 前来赞叹,འབྱུང་པོ་རོ་ལངས་དྲི་ཟ་རྣམས་དང་། གནོད་སྦྱིན་ཚོགས་ཀྱིས་མདུན་ནས་བསྟོད་མ། ། ཞེས་པ་ནི་འབྱུང་པོ་ནི་ཚོགས་བདག་ལ་སོགས་པའོ། །རོ་ལངས་ནི་དབང་ཕྱུག་ཆེན་པོ་ལ་སོགས་པའོ། །དྲི་ཟ་ནི་ཟུར་ཕུད་ལྔ་པ་ལ་སོགས་པའོ། །གནོད་སྦྱིན་ནི་རྣམ་ཐོས་སྲས་ལ་སོགས་པའོ། ། ཚོགས་ཀྱིས་ཞེས་པ་དེ་ལ་སོགས་པ་ལྷ་སྲིན་སྡེ་བརྒྱད་ཀྱིས་མདུན་ནས་བསྟོད་པའོ། །,"""Praised by hosts of spirits, zombies, gandharvas, and yakshas from the front... 'Spirits' refers to Ganapati and others. 'Zombies' refers to Maheshvara and others. 'Gandharvas' refers to the Five-Crested One and others. 'Yakshas' refers to Vaishravana and others. 'By hosts' means she is praised from the front by these and other eight classes of gods and demons.""",诸鬼起尸乾闼婆 药叉众等前赞叹,
ཕྱག་འཚལ་ཊད་ཅེས་བྱ་དང་ཕཊ་ཀྱིས། །<br>ཕ་རོལ་འཁྲུལ་འཁོར་རབ་ཏུ་འཇོམས་མ། །<br>གཡས་བསྐུམས་གཡོན་བརྐྱངས་ཞབས་ཀྱིས་མནན་ཏེ། །,"Homage to her who with TRAṬ and PHAṬ utterly destroys the magical wheels of others; with right leg bent and left extended, she tramples them underfoot.",敬禮以「紮」及「呸」字 摧毀敵方之幻輪 右足屈 左足伸 威然踏立 ,ཕྱག་འཚལ་ཊཏ་ཅེས་བྱ་དང་ཕཊ་ཀྱིས། །ཕ་རོལ་འཕྲུལ་འཁོར་རབ་ཏུ་འཇོམས་མ། །ཞེས་པ་ནི་དྲག་པོའི་གསུང་གིས་གཞན་གྱིས་བྱས་པའི་སྦྱོར་བ་ངན་པ་བཤིག་ནས་ཕྱིར་བཟློག་པའོ། །གཡས་བསྐུམ་གཡོན་བརྐྱང་ཞེས་པ་ནི་བཞུགས་ཚུལ་ལོ། །ཞབས་ཀྱིས་མནན་ཏེ། ཞེས་པ་ནི་གོང་དུ་བཤད་པའི་དོན་ཏོ། །,"Homage to you who utterly destroy others' magical devices with ṬRĀṬ and PHAṬ. This means that with her fierce speech, she destroys and repels the evil spells cast by others. 'Right leg bent, left extended' describes her posture. 'Trampling with your feet' has the meaning explained above.",礼敬以'吒'声及'发'声 摧毁他人幻轮 此谓以猛烈声摧毁他人恶咒 令其返回 右屈左伸者 谓安坐之相 以足踏者 如上所说 ,ཕྱག་འཚལ་ཏྲད་ཅེས་བྱ་དང་ཕཊ་ཀྱིས། ། ཕ་རོལ་འཁྲུལ་འཁོར་རབ་ཏུ་འཇོམས་མ། ། ཞེས་པ་ནི། དྲག་པོའི་གསུང་གིས་གཞན་གྱིས་བྱས་པའི་སྦྱོར་བ་ངན་པ་བཤིག་ཅིང་ཕྱིར་བཟློག་པའོ། ། གཡས་བསྐུམ་གཡོན་བརྐྱང་ཞེས་པ་ནི་བཞུགས་ཚུལ་ལོ། ། ཞབས་ཀྱིས་མནན་ཏེ། ཞེས་པ་ནི། གོང་དུ་བཤད་པའི་དོན་ཏོ། །,"""Homage to you who utterly destroy others' magical devices with TRAD and PHAT... This means that with fierce speech she destroys and repels negative practices created by others. 'Right leg bent, left extended' refers to her posture. 'Having trampled under foot' has the meaning explained above.""",顶礼以'怛啰'与'发吒' 摧毁他人恶咒轮 右屈左伸足下踏 ,
མེ་འབར་འཁྲུག་པ་ཤིན་ཏུ་འབར་མ། །<br>ཕྱག་འཚལ་ཏུ་རེ་འཇིགས་པ་ཆེན་མོ། །<br>བདུད་ཀྱི་དཔའ་བོ་རྣམ་པར་འཇོམས་མ། །,"In a maelstrom of fire, intensely blazing; Homage to TURE, the great and fearsome one, who utterly vanquishes the warriors of Māra.",身處熊熊火焰中 熾盛燃燒極明耀 敬禮度瑞大怖畏 摧毀一切魔勇士,མེ་འབར་འཁྲུག་པ་ཤིན་ཏུ་འབར་མ། །ཞེས་པ་ནི་མེ་འབར་བའི་དབུས་ན་འགྱིང་བས་བཞུགས་པའོ། །ཕྱག་འཚལ་ཏུ་རེ་འཇིགས་པ་ཆེན་མོ། །ཞེས་པ་ནི་ཏུ་རེ་ནི་འཇིགས་པ་བདུད་སེལ་གསུངས་ཏེ། བདུད་སྐྲག་པར་བྱེད་པས་འཇིགས་པ་ཆེན་མོའོ། །བདུད་ཀྱི་དཔའ་བོ་རྣམ་པར་འཇོམས་མ། །ཞེས་པ་ནི་དཔའ་བོ་ནི་ཉོན་མོངས་པའི་བདུད་དོ། །དེ་བཅོམ་པས་གཞན་གསུམ་པོ་ཞར་ལས་འཇོམས་པའོ། །,"Blazing in the tumult of a raging fire. This means she abides majestically in the midst of blazing fire. Homage to TURE, the great terrifier. Here, TURE means 'terrifying demon-dispeller'; she is the great terrifier because she frightens demons. Destroyer of the demon heroes. 'Heroes' refers to the demon of afflictions. By conquering this one, she consequently destroys the other three demons.",火焰炽盛极燃者 此谓安住炽燃火焰中央 礼敬都哩大怖畏 都哩谓怖畏除魔之语 令魔恐惧故为大怖畏 摧伏魔勇士 勇士谓烦恼魔 摧伏此魔 余三魔亦随之摧伏 ,མེ་འབར་འཁྲུགས་པ་ཤིན་ཏུ་འབར་མ། ། ཞེས་པ་ནི། མེ་འབར་བའི་དབུས་ན་བསྒྱིངས་ནས་བཞུགས་པའོ། ཕྱག་འཚལ་ཏུ་རེ་འཇིགས་པ་ཆེན་མོས། ། ཞེས་པ་ནི། ཏུ་རེའི་འཇིགས་པས་བདུད་ཐམས་ཅད་སེལ་བ་སྟེ། བདུད་སྐྲག་པར་བྱེད་པས་འཇིགས་པ་ཆེན་མོའོ། ། བདུད་ཀྱི་དཔའ་བོ་རྣམ་པར་འཇོམས་མ། ། ཞེས་པ་ནི། དཔའ་བོ་ནི་ཉོན་མོངས་པའི་བདུད་དོ། །དེ་བཅོམ་པས་གསུམ་པོ་ཞོར་ལ་འཇོམས་སོ། །,"""Blazing, turbulent, intensely burning... This means she sits majestically in the midst of blazing fire. Homage to you, the terrifying TURE, the great fearsome one... This means that with the terror of TURE she dispels all maras; she is the great fearsome one because she frightens the maras. Destroyer of the heroes of mara... 'Heroes' refers to the mara of afflictions. By conquering this one, she consequently conquers the other three.""]",烈焰炽盛极明燃 顶礼怖畏大可畏 摧伏一切魔勇士 ,
ཆུ་སྐྱེས་ཞལ་ནི་ཁྲོ་གཉེར་ལྡན་མཛད། །<br>དགྲ་བོ་ཐམས་ཅད་མ་ལུས་གསོད་མ། །,"Her lotus-face marked with a wrathful frown, she slays all foes without a single one remaining.",蓮華之面現怒容 殺盡一切諸怨敵 ,ཆུ་སྐྱེས་ཞལ་ནི་ཁྲོ་གཉེར་ལྡན་མཛད། །ཆུ་སྐྱེས་ཞལ་ནི་པདྨ་ཁ་བྱེ་བ་ལྟར་ཡིད་དུ་འོང་བ་དཔའ་མོའི་ཞལ་ལོ། ཁྲོ་གཉེར་ལྡན་མཛད་ནི་ཁྲོ་མོར་བཞུགས་པའོ། །དགྲ་བོ་ཐམས་ཅད་མ་ལུས་གསོད་མ། །ཞེས་པ་ནི་མི་མཐུན་པའི་ཕྱོགས་ཉོན་མོངས་པ་ལ་སོགས་པ་ཐམས་ཅད་གསོད་པའོ། །,"The lotus face displays a frown. The lotus face refers to the beautiful face of the heroine, like an open lotus. 'Displaying a frown' means she abides in wrathful form. 'She who slays all enemies without exception' means she destroys all adverse factors such as afflictive emotions.",蓮花面作忿怒相 蓮花面如盛開蓮花悅意之勇母面 忿怒相者 住於忿怒中 殺一切諸敵無餘 此謂殺一切不順品煩惱等,ཆུ་སྐྱེས་ཞལ་ནི་ཁྲོ་གཉེར་ལྡན་མཛད། ། ཅེས་པ་ནི། ཆུ་སྐྱེས་ཞལ་ནི། པདྨ་ཁ་བྱེ་བ་ལྟར་ཡིད་དུ་འོང་བའི་དཔལ་མོའི་ཞལ་ལོ། །ཁྲོ་གཉེར་ལྡན་མཇད་ནི། ཁྲོ་མོར་བཞུགས་པའོ། ། དགྲ་བོ་ཐམས་ཅད་མ་ལུས་གསོད་མ། ། ཞེས་པ་ནི། མི་མཐུན་པའི་ཕྱོགས་ཉོན་མོངས་པ་ལ་སོགས་པ་ཐམས་ཅད་གསོད་པའོ། །,"The lotus face displays a frown. This means: 'The lotus face' refers to the beautiful face of the glorious lady, like an open lotus flower. 'Displays a frown' means she appears in wrathful form. 'She who kills all enemies without exception' means she destroys all adverse factors such as afflictive emotions and so forth.",蓮花面作忿眉 此謂蓮花面者 如開敷蓮花般悅意之吉祥女面也 忿眉者 即忿怒安住也 無餘殺諸敵 此謂殺一切不順品煩惱等也,
ཕྱག་འཚལ་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི། །<br>སོར་མོས་ཐུགས་ཀར་རྣམ་པར་བརྒྱན་མ། །,"Homage to her, whose fingers at her heart display the mudrā of the Three Jewels,",敬禮三寶嚴印手 手指莊嚴於心間 ,ཕྱག་འཚལ་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི། །སོར་མོས་ཐུགས་ཀར་རྣམ་པར་བརྒྱན་མ། །ཞེས་པ་ནི་གཡོན་པའི་ཕྱག་གི་མཐེབ་སྲིན་གྱིས་པདྨ་ཐུགས་ཀར་བསྣམས་པས་བརྒྱན་པའོ། །སོར་མོ་གསུམ་བརྐྱང་པ་ནི་དཀོན་མཆོག་གསུམ་མཚོན་པའི་བརྡའོ། །,"Homage to you whose fingers form a mudra symbolizing the Three Jewels, adorning your heart. This means she is adorned by holding a lotus at her heart with the thumb and ring finger of her left hand. The three extended fingers symbolize the Three Jewels.",頂禮以手印表三寶。手指莊嚴於心間。此謂左手拇指與無名指持蓮花於心間而為莊嚴。三指伸展表三寶之相。,ཕྱག་འཚལ་དཀོན་མཆོག་གསུམ་མཚོན་ཕྱག་རྒྱའི། ། སོར་མོས་ཐུགས་ཀར་རྣམ་པར་བརྒྱན་མ། ། ཞེས་པ་ནི། གཡོན་པའི་ཕྱག་མཐེབ་སྲིན་གྱིས་པདྨ་ཐུགས་ཀར་བསྣམས་པས་བརྒྱན་པའོ། །སོར་མོ་གསུམ་བརྐྱངས་པ་ནི་དཀོན་མཆོག་གསུམ་མཚོན་པའི་བརྡའོ། །,Homage to you who adorns her heart with her fingers in a mudra symbolizing the Three Jewels. This means: She is adorned by holding a lotus at her heart with the thumb and ring finger of her left hand. The three extended fingers symbolize the Three Jewels.,敬禮以表三寶手印 手指嚴飾於心間 此謂左手拇指與無名指持蓮於心間為嚴飾也 三指伸展表三寶之相也 ,
མ་ལུས་ཕྱོགས་ཀྱི་འཁོར་ལོ་བརྒྱན་པའི། །<br>རང་གི་འོད་ཀྱི་ཚོགས་རྣམས་འཁྲུག་མ། །,"Adorned with a wheel of every direction, from which swirls a great mass of her own light.",無餘方所輪莊嚴 自身光芒皆燃耀 ,མ་ལུས་ཕྱོགས་ཀྱི་འཁོར་ལོས་བརྒྱན་པའི། །ཞེས་པ་ནི་གཡས་པས་མཆོག་སྦྱིན་མཛད་པའི་ཕྱག་མཐིལ་འཁོར་ལོས་བརྒྱན་པའོ། །རང་གི་འོད་ཀྱི་ཚོགས་རྣམས་འཁྲུག་མ། །ཞེས་པ་ནི་ཕྱག་གི་འཁོར་ལོ་ལས་འོད་ཟེར་འཕྲོས་པས། འོད་གཞན་ཟིལ་གྱིས་གནོན་པའོ། །,"Adorned with a wheel in all directions without exception. This means the palm of her right hand, which makes the supreme giving gesture, is adorned with a wheel. 'She who agitates masses of her own light' means that light rays emanate from the wheel in her hand, outshining other lights.",無餘方位輪所嚴 此謂右手施無畏印掌中輪為嚴 自光明聚擾亂者 此謂手輪放光芒 光明映蔽他光,མ་ལུས་ཕྱོགས་ཀྱི་འཁོར་ལོས་བརྒྱན་པའི། ། ཞེས་པ་ནི་གཡས་པས་མཆོག་སྤྱིན་མཛད་པའི་ཕྱག་མཐིལ་འཁོར་ལོས་བརྒྱན་པའོ། །རང་གི་འོད་ཀྱི་ཚོགས་རྣམས་འཁྲུག་མ། ། ཞེས་པ་ནི། ཕྱག་གི་འཁོར་ལོ་ལས་འོད་ཟེར་འཕྲོས་པས་འོད་གཞན་ཟིལ་གྱིས་གནོན་པའོ། །,"Adorned with wheels in all directions without exception.' This means: The palm of her right hand, which makes the supreme giving mudra, is adorned with a wheel. 'She who agitates all masses of her own light.' This means: Light rays emanate from the wheel in her hand, outshining all other light.",無餘方位輪嚴飾 此謂右手施勝印之掌飾以輪也 自光聚擾亂 此謂手輪放光芒 以光明威伏他光也 ,
ཕྱག་འཚལ་རབ་ཏུ་དགའ་བ་བརྗིད་པའི། །<br>དབུ་རྒྱན་འོད་ཀྱི་ཕྲེང་བས་སྤེལ་མ། །,"Homage to her, resplendent in supreme joy, whose crown emits a garland of light.",敬禮極喜威嚴者 頂冠光明環圍繞 ,ཕྱག་འཚལ་རབ་ཏུ་དགའ་བ་བརྗིད་པའི། །དབུ་རྒྱན་འོད་ཀྱི་ཕྲེང་བ་སྤེལ་མ། །ཞེས་པ་ནི་རབ་ཏུ་དགའ་བས་སེམས་ཅན་ཐམས་ཅད་འདོད་པ་སྐོང་བའོ། །བརྗིད་པ་ནི་གཞན་ཟིལ་གྱིས་གནོན་པའོ། །དབུ་རྒྱན་རིན་པོ་ཆེ་དུ་མའི་ཕྲེང་བས་མཛེས་པར་བྱས་པའོ། །,"Homage to you who, with intense joy and majesty, multiply garlands of light from your crown. 'With intense joy' means she fulfills the desires of all sentient beings. 'Majesty' means she outshines others. Her crown is beautified with garlands of various precious jewels.",頂禮極喜威嚴者 頭冠光明鬘交錯 此謂以極喜滿足一切眾生欲求 威嚴者 映蔽他人 頭冠以眾寶鬘莊嚴,ཕྱག་འཚལ་རབ་ཏུ་དགའ་བར་བརྗིད་པའི། །དབུ་རྒྱན་འོད་ཀྱི་ཕྲེང་བས་སྤེལ་མ། ། ཞེས་པ་ནི། ། རབ་ཏུ་དགའ་བའི་སེམས་ཅན་ཐམས་ཅད་ཀྱི་འདོད་པ་བསྐང་བ། བརྗིད་པ་ནི་གཞན་ཟིལ་གྱིས་གནོན་པའོ། །དབུ་རྒྱན་རིན་པོ་ཆེ་དུ་མའི་ཕྲེང་བས་མཛེས་པར་བྱས་པའོ། །,"Homage to you who is intensely joyful and resplendent, whose crown ornament multiplies with garlands of light.' This means: She fulfills the desires of all sentient beings who are intensely joyful. 'Resplendent' means outshining others. Her crown is beautified with garlands of various precious jewels.",敬禮極喜威嚴 冠光鬘增盛 此謂滿足一切極喜有情之所欲 威嚴者即威伏他也 頭冠以眾寶鬘莊嚴也,
བཞད་པ་རབ་བཞད་ཏུཏྟཱ་ར་ཡིས། །<br>བདུད་དང་འཇིག་རྟེན་དབང་དུ་མཛད་མ། །,"With the great joyful laughter of TUTTĀRA, she brings demons and the world under her power.",歡顏大笑誦「嘟達惹」 攝伏魔羅與世間 ,བཞད་པ་རབ་གཞད་ཏུཏྟ་རཱ་ཡིས། །ཞེས་པ་ནི་སྔགས་ཀྱི་བཞད་སྒྲ་སྒྲོགས་པའོ། །བདུད་དང་འཇིག་རྟེན་དབང་དུ་མཛད་མ། །ཞེས་པ་ནི་སྔགས་ཀྱི་བཞད་སྒྲ་དེས་བདུད་དང་འཇིག་རྟེན་དབང་དུ་མཛད་པའོ།,"With laughter, the great laughter of TUTTARE. This means she proclaims the laughing sound of the mantra. 'She who subjugates demons and the world' means that through this laughing sound of the mantra, she brings demons and the world under her control.",笑聲大笑都達啰 此謂發咒語笑聲 魔與世間自在者 此謂以咒語笑聲降伏魔與世間 ,བཞད་པས་རབ་བཞད་ཏུཏྟཱ་ར་ཡིས། ། ཞེས་པ་ནི། སྔགས་ཀྱིས་བཞད་སྒྲ་སྒྲོགས་པའོ། ། བདུད་དང་འཇིག་རྟེན་དབང་དུ་མཛད་མ། ། ཞེས་པ་ནི། སྔགས་ཀྱི་བཞད་སྒྲ་དེས། བདུད་དང་འཇིག་རྟེན་དབང་དུ་མཛད་པའོ།,"Through her laughter, the fully laughing Tuttara.' This means: She proclaims the sound of laughter through mantras. 'She who subjugates demons and the world.' This means: Through that sound of mantra laughter, she subjugates demons and the world.",笑中極笑睹多羅 降伏魔與世間 此謂以咒發笑聲也 以此咒笑聲 降伏魔與世間也,
ཕྱག་འཚལ་ས་གཞི་སྐྱོང་བའི་ཚོགས་རྣམས། །<br>ཐམས་ཅད་འགུགས་པར་ནུས་མ་ཉིད་མ། །,"Homage to her, with the power to summon the entire assembly of protectors of the earth.",敬禮能召大地守護眾 一切皆能勾召之聖母 ,ཕྱག་འཚལ་ས་གཞི་སྐྱོང་བའི་ཚོགས་རྣམས། །ཐམས་ཅད་འགུགས་པར་ནུས་པ་ཉིད་མ། །ཞེས་པ་ནི་ས་གཞི་སྐྱོང་ནི་ཕྱོགས་སྐྱོང་བཅུའོ། །ཐམས་ཅད་འགུགས་པ་ནི་ཅི་གསུང་ཉན་པའི་སྒོ་ནས་ཕོ་ཉ་བྱེད་པའོ།,Homage to you who can summon all the hosts who protect the earth. This refers to the earth protectors who are the ten directional guardians. 'Summoning all' means they act as messengers by obeying whatever is commanded.,敬禮能攝護大地諸眾 悉能召集自在尊 此謂護持大地者 即十方守護神也 悉能召集者 謂聽從教令而為使者 ,ཕྱག་འཚལ་ས་གཞི་སྐྱོང་བའི་ཚོགས་རྣམས། ། ཞེས་པ་ནི། ཕྱོགས་སྐྱོང་བཅུའོ། ། ཐམས་ཅད་འགུགས་པར་ནུས་པ་ཉིད་མ། ། ཞེས་པ་ནི། ཅི་གསུང་ཉན་པའི་སྒོ་ནས་ཕོ་ཉ་བྱེད་པའོ། །,Homage to the hosts who protect the earth. This refers to the ten directional protectors. The one who can summon all. This refers to those who act as messengers by listening to whatever is said.,敬礼守护大地众 能召一切者 以忿怒眉动之吽字 普度一切贫乏者 ,
ཁྲོ་གཉེར་གཡོ་བ་ཡི་གེ་ཧཱུཾ་གིས། །<br>ཕོངས་པ་ཐམས་ཅད་རྣམ་པར་སྒྲོལ་མ། །,"Frowning wrathfully, by the syllable HŪṂ she brings complete liberation from all poverty.",怒眉顰容吽字聲 度脫一切貧窮眾 ,ཁྲོ་གཉེར་གཡོ་བ་ཡི་གེ་ཧཱུྃ་གིས། །ཞེས་པ་ནི་ཁྲོ་མོར་བཞུགས་པའི་ཐུགས་ཀ་ན་ཡི་གེ་ཧཱུཾ་གིས་མཚན་པའོ། །ཕོངས་པ་ཐམས་ཅད་རྣམ་པར་སྒྲོལ་མ། །ཞེས་པ་ནི་མི་མཐུན་པའི་ཕྱོགས་ཀྱིས་གཟིར་ཞིང་། མཐུན་པའི་ཕྱོགས་ཀྱིས་ཕོངས་པའི་སེམས་ཅན་ཐམས་ཅད་སྡུག་བསྔལ་ལས་བསྒྲལ་ནས་བདེ་བ་ལ་འགོད་པའོ། །,"With the syllable HŪṂ moving between your frowning brows. This means that in her wrathful form, her heart is marked with the syllable HŪṂ. You who completely liberate all the destitute. This means that she liberates all sentient beings who are tormented by unfavorable conditions and deprived of favorable conditions from suffering and establishes them in happiness.",眉間皺起現字吽 此謂忿怒尊心間以字吽為標誌也 救度一切貧窮者 此謂被違緣所惱 而缺順緣之一切有情 皆從苦難中救度而安置於樂 ,ཁྲོ་གཉེར་གཡོ་བའི་ཡི་གེ་ཧཱུཾ་གིས། ། ཞེས་པ་ནི། ཁྲོ་མོར་བཞུགས་པའི་ཐུགས་ཀ་ན་ཡི་གེ་ཧཱུཾ་གིས་མཚན་པའོ། ། ཕོངས་པ་ཐམས་ཅད་རྣམ་པར་སྒྲོལ་མ། །ཞེས་པ་ནི། མི་མཐུན་པའི་ཕྱོགས་ཀྱིས་གཟིར་ཞིང་། མཐུན་པའི་ཕྱོགས་ཀྱིས་ཕོངས་པའི་སེམས་ཅན་ཐམས་ཅད་སྡུག་བསྔལ་ལས་བསྒྲལ་ནས་བདེ་བ་ལ་འགོད་པའོ། །,With the syllable HŪṂ that moves with wrathful frown. This refers to the wrathful female's heart being marked with the syllable HŪṂ. The one who completely liberates all the destitute. This refers to liberating all sentient beings who are tormented by unfavorable conditions and deprived of favorable conditions from suffering and establishing them in happiness.,忿眉动摇吽字者 谓忿怒尊心间以吽字为标 普度一切贫乏者 谓将为违品所恼及顺品所乏之一切有情 度脱苦难安置乐中 ,
ཕྱག་འཚལ་ཟླ་བའི་དུམ་བུས་དབུ་རྒྱན། །<br>བརྒྱན་པ་ཐམས་ཅད་ཤིན་ཏུ་འབར་མ། །,"Homage to her, crowned with a crescent moon, all her ornaments intensely blazing.",敬禮頂飾新月輪 一切莊嚴極熾盛,ཕྱག་འཚལ་ཟླ་བའི་དུམ་བུས་དབུར་བརྒྱན། །ཞེས་པ་ནི་ཚེས་གཅིག་གི་ཟླ་བས་དབུར་བརྒྱན་པའོ། །བརྒྱན་པ་ཐམས་ཅད་ཤིན་ཏུ་འབར་མ། །ཞེས་པ་ནི་ཟླ་བ་དེ་ལས་འོད་ཟེར་འབར་བའོ། །,Homage to you whose head is adorned with a crescent moon. This means her head is adorned with the first-day crescent moon. You whose ornaments all brightly blaze. This means that light rays blaze forth from that moon.,敬禮月輪嚴飾頂 此謂以初一月輪莊嚴頭頂也 一切嚴飾極熾燃 此謂從彼月輪放射光明也 ,ཕྱག་འཚལ་ཟླ་བའི་དུམ་བུས་དབུ་རྒྱན། ། ཞེས་པ་ནི། ཚེས་གཅིག་ཟླ་བས་དབུ་བརྒྱན་པའོ། ། བརྒྱན་པ་ཐམས་ཅད་ཤིན་ཏུ་འབར་མ། ། ཞེས་པ་ནི། ཟླ་བ་དེ་ལས་འོད་ཟེར་འབར་བའོ། །,Homage to the one whose crown is adorned with a crescent moon. This refers to the head adorned with a crescent moon. The one whose ornaments all brightly blaze. This refers to the light rays blazing from that moon.,敬礼月轮为首饰 一切庄严极炽燃 谓以初月为首饰 彼月放射光明也 ,
རལ་བའི་ཁྲོད་ན་འོད་དཔག་མེད་ལས། །<br>རྟག་པར་ཤིན་ཏུ་འོད་རབ་མཛད་མ། །,"With Amitābha in her topknot, from whom she eternally sends forth great rays of light.",髮髻中住無量光 恆常綻放無比光,རལ་པའི་ཁྲོད་ན་འོད་དཔག་མེད་ལས། །ཞེས་པ་ནི་རལ་པའི་གསེབ་ན་སྣང་བ་མཐའ་ཡས་ཀྱིས་དབུར་བརྒྱན་པའོ། །རྟག་པར་ཤིན་ཏུ་འོད་རབ་མཛད་མ། །ཞེས་པ་ནི་སྣང་བ་མཐའ་ཡས་སེམས་ཅན་གྱི་དོན་དུ་འོད་ཟེར་དཔག་ཏུ་མེད་པ་འགྱེད་པའོ། །,Amitābha amidst your hair-locks. This means that her head is adorned with Amitābha (Boundless Light) who appears within her hair-locks. You who constantly emit the most brilliant light. This means that Amitābha radiates immeasurable light rays for the benefit of sentient beings.,髮髻中現無量光 此謂髮髻間以無量光莊嚴頭頂也 常放極勝光明者 此謂無量光為有情利益放射無量光明也,རལ་པའི་ཁྲོད་ན་འོད་དཔག་མེད་ལས། །ཞེས་པ་ནི།  རལ་པའི་གསེབ་ན་སྣང་བ་མཐའ་ཡས་ཀྱིས་དབུ་བརྒྱན་པའོ། ། རྟག་པར་ཤིན་ཏུ་འོད་ནི་མཛད་མ། ། ཞེས་པ་ནི། སྣང་བ་མཐའ་ཡས་ཀྱིས་སེམས་ཅན་དོན་དུ་འོད་ཟེར་དཔག་ཏུ་མེད་པར་འགྱེད་པའོ།,From Amitābha amidst her hair. This refers to her head being adorned with Amitābha (Boundless Light) within her locks of hair. The one who constantly emits brilliant light. This refers to Amitābha radiating immeasurable light rays for the benefit of sentient beings.,发髻中有无量光 谓发髻间以无量光庄严其首 常放极大光明者 谓无量光为有情放无量光明也 ,
